,Season,Avg Pts Scored,Avg Pts Against,SRS
0,2026,79.80645161290323,71.03225806451613,30.53
1,2025,80.89285714285714,76.28571428571429,5.71
2,2024,81.53571428571429,70.42857142857143,9.59
3,2023,77.32142857142857,72.14285714285714,2.09
4,2022,77.5,72.07142857142857,4.23
5,2021,74.84,69.68,13.04
6,2019,87.32142857142857,73.14285714285714,13.73
7,2018,83.64285714285714,73.42857142857143,14.30
8,2017,86.92857142857143,71.03571428571429,20.63
9,2016,83.75,70.32142857142857,9.83
10,2015,78.28571428571429,68.46428571428571,14.11
11,2014,77.25,68.57142857142857,9.02
12,2013,77.71428571428571,68.96428571428571,5.85
13,2012,82.89285714285714,66.67857142857143,12.10
14,2011,77.35714285714286,67.07142857142857,15.00
15,2010,76.85714285714286,72.85714285714286,14.64
16,2009,91.85714285714286,72.53571428571429,5.56
17,2008,90.14285714285714,72.53571428571429,9.29
18,2007,87.5,67.03571428571429,8.53
19,2006,80.37037037037037,68.37037037037037,21.77
20,2005,89.78571428571429,69.5,6.82
21,2004,83.11111111111111,75.18518518518519,25.67
22,2003,71.0,70.21428571428571,12.20
